verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,recXcBj5m93CwTjvc,Hilton Garden Inn Uruapan,Hilton Garden Inn Uruapan,UPNMTGI,Pipeline,Pipeline,2026-08-27,Uruapan,Mexico,Hilton Garden Inn
match,recXn9OjqYwHfWBou,Hilton Garden Inn La Romana,Hilton Garden Inn La Romana,LRMLMGI,Open,Open,2023-07-12,La Romana,Dominican Republic,Hilton Garden Inn
unverified_no_code,recXxX3Lpml1MSRic,Tru by Hilton Cali Sur,,,Open,,,Cali,Colombia,Tru by Hilton
unverified_no_code,recY2Ch11LpIOWgcV,Hilton Garden Inn Itapetininga,,,Pipeline,,,Itapetininga,Brazil,Hilton Garden Inn
match,recY4B8n5czlpTJuw,Hampton Inn by Hilton Tampico Aeropuerto,Hampton Inn by Hilton Tampico Aeropuerto,TAMHSHX,Open,Open,2006-05-01,Tampico,Mexico,Hampton by Hilton
unverified_no_code,recY5p63cSCeW2RqT,Hilton Tijuana,,,Pipeline,,,Tijuana,Mexico,Hilton
unverified_no_code,recYIi4bcLLcAhc8A,Hilton Georgetown,,,Pipeline,,,Georgetown,Guyana,Hilton
match,recYKdA0XOm6RpkLs,Almenat Embu das Artes Sao Paulo Tapestry Collection by Hilton,"Almenat Embu das Artes, Tapestry Collection by Hilton",CGHEMUP,Open,Open,2021-09-01,Embu Das Artes,Brazil,Tapestry Collection by Hilton
match,recYMJkXlhXlgKzuS,Salvio Parque 93 Bogota Curio Collection by Hilton,"Salvio Parque 93 Bogota, Curio Collection by Hilton",BOGSPQQ,Open,Open,2023-06-15,Bogota,Colombia,Curio Collection by Hilton
match,recYNB1AtH9Ebd641,Motto by Hilton Cusco,Motto by Hilton Cusco,CUZINUA,Open,Open,2024-01-25,Cusco,Peru,Motto by Hilton
unverified_no_code,recYSBCEindmgPhAm,Hilton Garden Inn Itapema,,,Pipeline,,,Itapema,Brazil,Hilton Garden Inn
match,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,"Hotel Santiago, Curio Collection by Hilton",STISAQQ,Open,Open,2024-12-12,Santiago de los Caballeros,Dominican Republic,Curio Collection by Hilton
unverified_no_code,recYjfpMp6dkRoaNt,Doubletree Suites by Hilton Georgetown,,,Pipeline,,,Georgetown,Guyana,DoubleTree by Hilton
