sourceRecordId,rawHotelName,rawCity,rawCountry,rawWebsite,proposedIdentityKey,matchConfidence,matchScore,matchReason,recommendedAction,matchedCensusRecordId,matchedCensusName,matchedCensusCity,matchedCensusCountry,matchedIdentityKey,matchedCurrentBrand,matchedAffiliationStatus,distanceMeters,identityKeyCollision
node/928315117,Apartahotel Drake,,Dominican Republic,,osm_do_node_928315117,none,15,"No credible name, geo, or website match",likely_new_candidate,rec5nLVYQCtuNmNak,Homewood Suites by Hilton Santo Domingo,Santo Domingo,Dominican Republic,ind_hilton_do_sdqhwhw,Homewood Suites by Hilton,Branded,979,false
node/988991741,Costa Las Ballenas,,Dominican Republic,,osm_do_node_988991741,none,21,"No credible name, geo, or website match",likely_new_candidate,recc4Q3BZldMeMtlA,Kimpton Las Mercedes,Santo Domingo,Dominican Republic,ind_ihg_do_sdqlm,Kimpton Hotels,Branded,,false
node/989009324,Acaya,,Dominican Republic,,osm_do_node_989009324,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,144076,false
node/1069945606,Hotel Atarazana,,Dominican Republic,http://www.hotel-atarazana.com,osm_do_node_1069945606,none,41,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,200,false
node/1188149592,Hotel Pinar Dorado,,Dominican Republic,,osm_do_node_1188149592,none,19,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1207422127,Be Live Grand Marien Hotel,,Dominican Republic,,osm_do_node_1207422127,none,17,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1234382123,Emotion By Hodelpa.,,Dominican Republic,,osm_do_node_1234382123,none,19,"No credible name, geo, or website match",likely_new_candidate,recLcfYMZLX0PgEA5,JOIA Bávaro by Iberostar,Punta Cana,Dominican Republic,ind_ihg_do_ghbgb,JOIA Iberostar,Branded,,false
node/1238948840,hotel arcardo,,Dominican Republic,,osm_do_node_1238948840,none,41,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,88,false
node/1238959353,"ALJIBE CAFE, Cocktail",,Dominican Republic,,osm_do_node_1238959353,none,25,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,488,false
node/1249539089,Hotel Salinas,,Dominican Republic,,osm_do_node_1249539089,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
