bucket,recordId,strId,fieldsUpdated
AUTO_CONFLICT,recKyNT7zDD11SHo0,236345,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reccGMTbaYrb4UuCp,140289,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recYUPNb6fgPnoX9H,287364,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recGQwnvCKhis8Y8W,110261,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recvvwpYJuJB3myRJ,173459,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recssgUodOjS9owNf,207448,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recDLgo6qnMMm44Kr,224263,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recHf518OTVZAsLx8,233154,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recbH34aKKyeAYPQU,136996,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recFwajkvryXhCBIk,301834,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recWOUBPbwWY5p5XL,284324,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recgIQRQImfOkKm9V,139810,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recY7Lkm7qT58fCAJ,266279,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recKxVKnYWCPeWs9H,167671,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec0bdN8mI2bu40d2,229441,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recZzM42AOXZWiJnR,142533,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recYsXAHYbLBPAj3c,167977,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reccZGU6atl8XFdS0,270787,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recvQ61LspBBZxM0t,282798,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recuYlnZAi3AwiZfN,197802,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recexALRJCnOkTBt1,136573,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rectoi6KxnMR0guvX,142541,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recn38d8hcQTs2gCN,210338,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recmaOzkgpR9mGrb0,273423,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recey3LcHOwoPEzsZ,264223,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recjoG2WljFKbuh26,120110,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recvrtZoFJjmDZqun,286049,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recXZ7wC3MLn5VX52,109855,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rechQ0MeFN0eQjDkl,290576,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recBlsuZprYQt3ABm,268601,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recXNX7boOyHdh1Gl,289934,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recMO1yipVq29maXu,189153,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recUN4AUZpiwFbsKi,164029,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recTjYJPhwL821Sxl,251214,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recd4w1KZWuADb2W1,275282,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWJG8pky7SDbwlB,221215,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,reczyNjHHMyKazLKl,281348,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recHNMMlqONGvcX0A,122042,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recZUdQpvDWMYTj5p,117589,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recsfdgt5QDnDJNO4,225380,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recxUhclsCDdU98AY,124660,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recyOL0GapwKCYQ5v,155935,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recpTbMgCRVUQ5uke,251615,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recylWxkvo9yFTDJj,214133,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recbdedl2JBYhgHJY,277062,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec0VJXEaiyo45Ath,111293,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recKMDZrJP0qiP89p,135401,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recF2uI0D2IEpJost,313371,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recYdFCf6D1LfvkLh,282859,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recWMOgaylrwHvwTY,302241,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recaiJ11ElqigjE42,281349,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recR0UaYgSuPRBNaE,164693,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec1YfhSCY32ZTjxS,207260,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recgnT7rCsWhk0FUr,281451,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recTVMMcf8DcRXLi5,293764,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recYFNLBG57RqX0XD,300105,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec3FmPOEuUIfLAkK,147149,Market; Submarket; city; country; name; Development Cost
