sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
way/1227930445,Hotel Mi Descanso,Neiba,Dominican Republic,,,75,high,missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1335121325,Ocean El Faro,Punta Cana,Dominican Republic,,https://www.oceanhotels.com/,100,high,,independent_unaffiliated_candidate,no_active_brand_signal,,,true,medium,likely_existing,"Ocean El Faro, Punta Cana",
way/1344798573,"The Ocean Club, a Luxury Collection Resort",Sosúa,Dominican Republic,,https://www.ocgdr.com/the-luxury-collection,100,high,,route_branded_active_setup,name_alias_match,The Luxury Collection,,false,low,needs_research,The Ocean Club a Luxury Collection Resort Costa Norte,name_alias_match
way/1359398349,Royalton Chic Punta Cana,Punta Cana,Dominican Republic,,https://www.royaltonresorts.com/royalton-chic-punta-cana,100,high,,independent_unaffiliated_candidate,no_active_brand_signal,,,true,medium,likely_existing,"Royalton CHIC Punta Cana, An Autograph Collection All-Inclusive Resort & Casino - Adults Only",
way/1359398359,Live Aqua,Punta Cana,Dominican Republic,,,75,high,missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,medium,likely_existing,Live Aqua Punta Cana,
way/1375108124,Courtyard Marriott,,Dominican Republic,Marriott,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Marriott,Marriott,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1476067942,Hotel Plaza Kávia,,Dominican Republic,,,65,medium,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1486163951,Hotel Anselmo,Boca Chica,Dominican Republic,,https://anselmohotelrd.com/,100,high,,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1499796372,Hotel San Gabriel,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1500058990,El Guarua,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1536664489,"Donoma Las Terrenas Resort & Villas, Autograph Collection",,Dominican Republic,Marriott,,65,medium,missingCity|missingWebsite|missingPhone,route_branded_soft_collection,name_alias_match,Autograph Collection,,false,low,needs_research,Donoma Las Terrenas Beach Hotel & Spa Autograph Collection,osm_brand_tag_unresolved|name_alias_match
relation/1922795,Hotel Riu Palace Bavaro,Punta Cana,Dominican Republic,RIU,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-bavaro,100,high,,route_known_chain_not_active,known_chain_domain,RIU,RIU,false,high,likely_existing,Hotel Riu Palace Bavaro,osm_brand_tag_unresolved|known_chain_domain|known_chain_name
