recordId,name,fields
recZ00RNzg2wdr51M,"Hampton by Hilton Grand Cayman Seven Mile Beach",Year Affiliated
recZ0XRAtXv7Qy11w,"Hilton Cartagena",Year Affiliated;Open Date
recZ85139KQRXwdmA,"Hilton Garden Inn Belo Horizonte",Year Affiliated
recZMExPQYHr6kHxO,"Canopy by Hilton Cancun La Isla",Year Affiliated
recZUCo7AVnTGfDBC,"Hilton Garden Inn La Romana",Year Affiliated
recZY8fmuGXQd3DxN,"Koi Resort Saint Kitts Curio Collection by Hilton",Year Affiliated
recZoafahfTVVw3Sd,"DoubleTree By Hilton Hotel Iquitos",Year Affiliated
recZt66WxPF4ZyobF,"DoubleTree by Hilton Sao Paulo Itaim",Year Affiliated
recaVvZSMGbd1rHpU,"Hilton Garden Inn Silao Aeropuerto Bajio",Year Affiliated
recakpiy3h4GVib7S,"The Fives Downtown Hotel & Residences Curio Collection by Hilton",Year Affiliated
recbKqG7onY9CGh38,"Hampton by Hilton Santo Domingo Airport",Year Affiliated
recbVuvzXs4Ql6eVS,"Hilton Garden Inn Iquique",Year Affiliated
recbdedl2JBYhgHJY,"Hampton by Hilton Santiago Las Condes",Year Affiliated
recbwfCdvb9eM7QXh,"Hilton Garden Inn Cancun Airport",Year Affiliated
recchfm6iGfZQvmTV,"Hilton Porto Alegre",Year Affiliated
reccnr9ls6vsNqeTl,"Hampton by Hilton Montevideo Carrasco",Year Affiliated
recdorwekj2x6vT8s,"Motto by Hilton Cusco",Year Affiliated
recdvilqvKRr4ZdBv,"Hampton by Hilton Medellin",Year Affiliated
rece70okrjADMQLlJ,"Hilton Queretaro",Year Affiliated
recgDZkiRysKvgCMz,"Hampton by Hilton San Jose Airport",Year Affiliated
recgIjT7jiohm6Qgm,"Caribe Hilton",Year Affiliated
recgikCWhrvjTV7X2,"DoubleTree by Hilton Hotel San Juan Puerto Rico",Year Affiliated
recgr76Mtrt0ocudg,"Waldorf Astoria Los Cabos Pedregal",Year Affiliated
rechQ0MeFN0eQjDkl,"Palacio Provincial San Juan Curio Collection by Hilton",Year Affiliated
rechTFNeAAYgr9mms,"Hyatt Vivid Playa del Carmen",Year Affiliated
rechcNXNRIUaRNE8V,"DoubleTree by Hilton Trujillo",Year Affiliated
reci3EBLJU1VCdyvA,"Hilton Garden Inn Santiago Airport",Year Affiliated
reciBq33l2r5v3dTG,"Homewood Suites by Hilton Santo Domingo",Year Affiliated
reciEMhEl62tszmhZ,"Hilton Garden Inn Lima Surco",Year Affiliated
recjJtNESmG0lxTdu,"Hilton Rio de Janeiro Copacabana",Year Affiliated
recjVB7A0jclbqsis,"Hampton by Hilton Arequipa",Year Affiliated
recjoG2WljFKbuh26,"Condado Palm Inn San Juan Tapestry Collection by Hilton",Year Affiliated
recjqOzoMxEjYNP2k,"Hampton  Inn Ciudad Victoria",Year Affiliated
recjvQh52k0iRrhYL,"Hampton By Hilton Bogota Airport",Year Affiliated
reck0OX02AXOCxrxh,"Hilton at Resorts World Bimini",Year Affiliated
reck3mcnNoBHtzN83,"Hilton San Luis Potosi",Year Affiliated
reck4i7JuuTqy8hPt,"Hilton Garden Inn Guatemala City",Year Affiliated
reckMQcc7aIuXXn2B,"Hilton Colon Guayaquil",Year Affiliated
reckRoTLLalQbN4Dt,"Hilton Sao Paulo Morumbi",Year Affiliated
reckvgWP2CZlqOAf1,"Hampton  Inn San Juan Del Rio",Year Affiliated
recmFSGlsmUfjjfVN,"Hilton Garden Inn Maceio",Year Affiliated
recn6Dia9FIlxvFKl,"The Yucatan Playa del Carmen Tapestry Collection by Hilton",Year Affiliated
recn8YF4gllYW9ijZ,"Hilton Garden Inn San Jose La Sabana",Year Affiliated
recnScFPB3hSmdxjR,"Hilton Garden Inn Montevideo",Year Affiliated
recnePczxISckoGX9,"Conrad Tulum Riviera Maya",Year Affiliated
recns9k9Wnvl3gHNU,"Hampton by Hilton Antofagasta",Year Affiliated
reco6uZTYF8hdpjjJ,"Hampton by Hilton Panama",Year Affiliated
recofgevY6v7A3j3e,"Hampton Inn by Hilton Guadalajara Airport",Year Affiliated
