priority,stewardPath,brandName,parentCompany,censusRecordId,censusName,country,city,website,propertyId,blankFieldsJoined,instruction
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,recUr4fd0ZbHGnYwN,Dazzler by Wyndham Lima Miraflores,Peru,Lima,https://www.wyndhamhotels.com/dazzler/lima-peru/dazzler-hotel-lima-miraflores/overview,DAZZLER-HOTEL-LIMA-M,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,recmo6pJST2sCK0W5,Dazzler by Wyndham Lima San Isidro,Peru,Lima,https://www.wyndhamhotels.com/dazzler/lima-peru/dazzler-lima-san-isidro/overview,DAZZLER-LIMA-SAN-ISI,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,recMMKOFgIUQ8NVcV,Dazzler by Wyndham Montevideo,Uruguay,Montevideo,https://www.wyndhamhotels.com/dazzler/montevideo-uruguay/dazzler-hotel-montevideo/overview,DAZZLER-HOTEL-MONTEV,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Design Hotels,"Marriott International, Inc.",recPtyDuFADdczVA3,Circulo Mexicano,Mexico,Ciudad de México,https://www.designhotels.com/hotels/mexico/mexico-city/circulo-mexicano/,MEXUL,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Hotel Indigo,InterContinental Hotels Group,recpu1fwK7CtoOIEq,Hotel Indigo La Paz Puerta Cortes,Mexico,La Paz,https://www.ihg.com/hotelindigo/hotels/us/en/la-paz/lapgo/hoteldetail,LAPGO,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Kimpton Hotels,InterContinental Hotels Group,recBo7N3KaFfQ4RY6,Kimpton Las Mercedes-Santo Domingo,Dominican Republic,Colonial City,https://www.ihg.com/kimptonhotels/hotels/us/en/las-mercedes-santo-domingo/sdqlm/hoteldetail,SDQLM,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Brazil,Natal,https://www.choicehotels.com/rio-grande-do-sul/natal/quality-inn-hotels/br058,BR058,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recCZqZoIfrf7MKAZ,Quality Hotel Aracaju,Brazil,Aracaju,https://www.choicehotels.com/sergipe/aracaju/quality-inn-hotels/br069,BR069,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,receraO6a2LBlAFS9,Quality Hotel Blumenau,Brazil,Blumenau,https://www.choicehotels.com/santa-catarina/blumenau/quality-inn-hotels/br145,BR145,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,rec1WblO8rnicymJF,Quality Hotel Pampulha,Brazil,Belo Horizonte,https://www.choicehotels.com/minas-gerais/belo-horizonte/quality-inn-hotels/br110,BR110,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,reccUca5e2ucKq8gs,Quality Hotel Paulista Sao Paulo,Brazil,Sao Paulo,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br147,BR147,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Brazil,Porto Alegre,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/quality-inn-hotels/br084,BR084,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Brazil,Rio de Janeiro,https://www.choicehotels.com/rio-de-janeiro/rio-de-janeiro/quality-inn-hotels/br121,BR121,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Brazil,Sao Caetano do Sul,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/quality-inn-hotels/br125,BR125,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,Brazil,São José do Rio Preto,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,BR090,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,rec6w6h6tfQUrn2uO,Quality Hotel Vitoria,Brazil,Vitoria,https://www.choicehotels.com/espirito-santo/vitoria/quality-inn-hotels/br105,BR105,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Mexico,Saltillo,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,MX070,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recuPczqHC2srskUK,Quality Suites Alphaville,Brazil,Barueri,https://www.choicehotels.com/sao-paulo/barueri/quality-inn-hotels/br008,BR008,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recfJwzEQpnITOiLm,Quality Suites Vila Olimpia,Brazil,Sao Paulo,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br025,BR025,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Quality Inn,Choice Hotels International,recak8mGBPSSEBswK,Quality Suites Vila Velha,Brazil,Vila Velha,https://www.choicehotels.com/espirito-santo/vila-velha/quality-inn-hotels/br036,BR036,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Radisson Blu by Choice,Choice Hotels International,recnKqXBuizbOkD7D,Radisson Blu Plaza El Bosque Santiago,Chile,Santiago,https://www.choicehotels.com/chile/santiago/radisson-blu-hotels/cl012,CL012,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Radisson Blu by Choice,Choice Hotels International,recQ33UuRCjytmL54,Radisson Blu Sao Paulo,Brazil,Sao Paulo,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-blu-hotels/br167,BR167,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Radisson by Choice,Choice Hotels International,rech8GkDM3tYQfXph,Radisson by Choice Saltillo,Mexico,Saltillo,https://www.choicehotels.com/mexico/saltillo/radisson-hotels/mx183,MX183,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Radisson by Choice,Choice Hotels International,recQVxeHdrKdQlQNF,Radisson Grenada Beach Resort,Grenada,St George's,https://www.choicehotels.com/grenada/st-georges/radisson-hotels/gd002,GD002,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
