brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Phillips Kansas City, Curio Collection by Hilton",MKCCUQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Preko Ugljan Island, Curio Collection by Hilton",ZADDYQQ,none,51,
Curio Collection by Hilton,QQ,no_changes,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,"Hotel Santiago, Curio Collection by Hilton",STISAQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Saski Krakow, Curio Collection by Hilton",KRKSHQQ,none,54,
Curio Collection by Hilton,QQ,no_changes,recz4rePhwtGzaTzr,Hualta Hotel Mendoza Curio Collection by Hilton,"Hualta Hotel Mendoza, Curio Collection by Hilton",MDZAHQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Humble House Taipei, Curio Collection by Hilton",TSAQQQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Iceland Parliament Hotel, Curio Collection by Hilton",REKPSQQ,none,48,
Curio Collection by Hilton,QQ,no_changes,recC6qFaLB7nxLHYq,Indura Beach & Golf Resort Curio Collection by Hilton,Indura Beach & Golf Resort Curio Collection by Hilton,TEAIBQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Isla Brown Corinthia Resort & Spa, Curio Collection by Hilton",ATHIBQQ,none,43,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Joyze Hotel Xiamen, Curio Collection by Hilton",XMNXCQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Kahavadi Chiang Rai, Curio Collection by Hilton",CEIQQQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Keight Hotel Opatija, Curio Collection by Hilton",ZAGOPQQ,none,54,
Curio Collection by Hilton,QQ,no_changes,recZY8fmuGXQd3DxN,Koi Resort Saint Kitts Curio Collection by Hilton,"Koi Resort Saint Kitts, Curio Collection by Hilton",SKBKRQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"KROMO Bangkok, Curio Collection by Hilton",BKKQQQQ,none,51,
