candidateRecordId,verifiedHotelName,verifiedDedupeKey,osmCountry,matchedLegacyRecordId,matchScore,status
recU37XtyUCL1v6Aq,Hotel Puerta del Sol,hotel puerta del sol|david|panama,Panama,recvBZHgQM81MPRn0,100,written
recUN8r0B3R8Gftry,Grand International Hotel,grand international hotel|panama|panama,Panama,recjHAneqPJBYYQG3,100,written
recX8rrVpvYN5LqZL,Hotel Madrid,hotel madrid|david|panama,Panama,recRkEzVLjN8tn6Zu,100,written
recYA2ekSaPVhuI8t,Hotel Los Rivera,hotel los rivera|david|panama,Panama,recT8lwuxRsWTC5Ny,100,written
recalRL2PZmsk9VxQ,Hotel San Thomas Inn,hotel san thomas inn|ciudad de panama|panama,Panama,recD9ytFV108d94hX,100,written
recdFQe2vfFABl4vB,Sheraton Grand Panama,sheraton grand panama|ciudad de panama|panama,Panama,reciaTaDDhXUdXczZ,100,written
recfrXefmeYgjGyCB,Sand Diamond Hotel,sand diamond hotel|colon|panama,Panama,rec8L1Kc0D2S0hJTZ,100,written
reckoA698km7vvz4h,Hotel Iberia Sur,hotel iberia sur|david|panama,Panama,recdJiT324so2f7Yl,100,written
recktt1epGjae7C4f,The Westin Panama,the westin panama|panama city|panama,Panama,recCGJdRZIGhglOZq,100,written
recnXeCxXAdjrz7pC,Waldorf Astoria Panama,waldorf astoria panama|ciudad de panama|panama,Panama,recCiXwlYCRqfwQQ9,100,written
recomNQFKFrCtQLsT,Gran Hotel Azuero,gran hotel azuero|chitre|panama,Panama,recrrF6yDJeXGcZAu,100,written
rec1Tw7WL1Xwyd2oW,Ayelen Apart Hotel,ayelen apart hotel|calama|chile,Chile,recWolSVXHbDyU7nF,100,written
rec5U58kxxzPtcGzn,Radisson Blu Acqua Hotel & Spa Concón,radisson blu acqua hotel & spa concon|concon|chile,Chile,recbWQSUUQAme5zie,100,written
rec6sVuFjJM39VJTW,Hotel Agua Del Desierto,hotel agua del desierto|calama|chile,Chile,recd6ZN12iwlxEpXR,100,written
rec7mIBTjYYUKngfv,Hotel Plaza San Francisco,hotel plaza san francisco|santiago|chile,Chile,recm8FxY3bCQYcfYn,100,written
rec9a3AE3yN287TMk,Ibis Budget Copiapó,ibis budget copiapo|copiapo|chile,Chile,recqZ2bA1qtVHMPOT,100,written
recHj50wo8oo95gDO,Ckoi Atacama Lodge,ckoi atacama lodge|san pedro de atacama|chile,Chile,recHt3xQBrbs3fOAz,100,written
recKCfzAEFN3BO1Fw,Hotel Costa Fósil,hotel costa fosil|caldera|chile,Chile,recKDvLKkvtSNS60b,100,written
recMEKdK5JGmOb09c,Hotel Libertador,hotel libertador|santiago|chile,Chile,rechMz706nivDK0Yz,100,written
recMHQHI0Ahe26dx5,Hotel Carande,hotel carande|papudo|chile,Chile,recVgJp0B6oWUf3XK,100,written
recMfnHufVBxqp4QF,Hotel Oceanic,hotel oceanic|vina del mar|chile,Chile,recEO2qogeQrJB2uG,100,written
recOuUpMWUrCURlEs,Hotel Vista Hermosa 17,hotel vista hermosa 17|vina del mar|chile,Chile,rec8sSqX4W8Jfeasl,100,written
recSRLYACxLBNh3Sz,Hostal Francis Drake,hostal francis drake|puerto natales|chile,Chile,recb1S0V05mTWU2Gf,100,written
recSfAd21F8h6kLEU,Gran Hotel Vicente Costanera,gran hotel vicente costanera|puerto montt|chile,Chile,recjWFvkP3wyDQ1Ya,100,written
recU5GhN57uEZBpQq,Hotel Foresta,hotel foresta|santiago|chile,Chile,reciRGbV8vxLn29ol,100,written
recVD246zKGQVzPZE,Hotel La Serena Plaza,hotel la serena plaza|la serena|chile,Chile,recUXrD8JTLZIjCPr,100,written
recWaMqEyDvGgeC1L,Hotel José Nogueira,hotel jose nogueira|punta arenas|chile,Chile,recSwSsxIHC2mckka,100,written
recZG2AIr2CzmVR97,Hotel Altiplanico,hotel altiplanico|santiago|chile,Chile,recPVzVfDDHVrTpIV,100,written
recZZDQlYkskiThn7,Casa Galos Hotel & Lofts,casa galos hotel & lofts|valparaiso|chile,Chile,reczYj15FeXYAIwLx,100,written
recatwUd7NEPiKEcG,Hotel Puelche,hotel puelche|puerto varas|chile,Chile,recJgQFkR68f0Lsaq,100,written
recbha8FGtQ7qLUSP,Hotel Canto del Mar,hotel canto del mar|la serena|chile,Chile,recPvCZmAf49g0jKv,100,written
recd5uzF28srEFR4O,Hotel Gavina Sens,hotel gavina sens|iquique|chile,Chile,recHfWo5F1Up7jcDN,100,written
recfVeFXlp3zX8Lrl,Capital Hotel Bellet,capital hotel bellet|providencia|chile,Chile,reci3u6Nzl3dS2Fqs,100,written
recg6Koo9JiPaCGg9,Hotel Cumbres Lastarria,hotel cumbres lastarria|santiago|chile,Chile,recW5cGGKbFsuR9js,100,written
rechec2k08lSU5mz7,Hotel Santa Cruz Plaza,hotel santa cruz plaza|santa cruz|chile,Chile,recSfEdjt4zZF9VW7,100,written
reckVdz33meoEwhJ5,Hotel Savona,hotel savona|arica|chile,Chile,recjDd6DT2tGSENbI,100,written
rec0UBs5tLlSqm2Ds,Hotel Lomas del Volcán,hotel lomas del volcan|la fortuna|costa rica,Costa Rica,recaGxDXtsL5x00xH,100,written
rec0oTd5bQ4N7eMl3,Hotel Kekoldi,hotel kekoldi|san jose|costa rica,Costa Rica,recT0smxEcYEI76IM,100,written
rec33vzPrAvXTnzUY,Costa Verde Inn,costa verde inn|escazu|costa rica,Costa Rica,recUKqGwopLqPzDB8,100,written
recC5sb0TvZ32iC8z,Sunset del Mar Beach Resort,sunset del mar beach resort|esterillos este|costa rica,Costa Rica,rec9yHdLLbXQ7yvYW,100,written
