appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T23:07:31.698Z,rec2hRrU0bZxd1AD4,"Quality Hotel & Suites Natal",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:31.964Z,rec5FTPBwWJrS7KRF,"Quality Hotel Faria Lima",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:32.270Z,rec6w6h6tfQUrn2uO,"Quality Hotel Vitoria",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:32.608Z,recC9ZIeByrNob1dw,"Quality Hotel St Paul Rio Preto",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:32.835Z,recCZqZoIfrf7MKAZ,"Quality Hotel Aracaju",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:33.075Z,recFODBnRGXiPIhWN,"Quality Suites Joao Pessoa",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:33.314Z,recKaE1DQ7B9NbGTy,"Quality Suites Oscar Freire",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:33.588Z,recak8mGBPSSEBswK,"Quality Suites Vila Velha",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:33.829Z,recazBNxPazCs8y7a,"Quality Hotel Goiania",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:34.080Z,reccUca5e2ucKq8gs,"Quality Hotel Paulista Sao Paulo",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:34.343Z,reccXi9kLfZrKEW42,"Quality Hotel Real Aeropuerto",El Salvador,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:34.606Z,recdMCXtrk9IeKyzi,"Quality Hotel Jundiai",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:34.842Z,receraO6a2LBlAFS9,"Quality Hotel Blumenau",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
