source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
way/93553072,Hotel Dominican Fiesta,Fiesta,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/104646167,Barceló Bávaro Beach – Adults only,Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/110955858,Iberostar Selection Bavaro Suites,Iberostar,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/110962847,Iberostar Selection Coral Bávaro,Iberostar,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/136390467,Iberostar Waves Costa Dorada,Iberostar,Marapica,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/142306645,Hotel Riu Naiboa,RIU,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/142306646,Hotel Riu Palace Punta Cana,RIU,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/153864150,Hotel Barceló Santo Domingo,Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/164232205,Hodelpa Centro Plaza Hotel,Hodelpa,Santiago de los Caballeros,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/175357851,Gran Bahia Principe Cayacoa,Bahía Príncipe,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
