legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,matchConfidence,matchScore,osmCandidateRecordId,osmName,osmSourceRecordId,distanceMeters,alreadyVerified,duplicateRisk,matchReason
recJbdVpfPwdnTX7X,Radisson Aquatica Resort Barbados,Bridgetown,Barbados,Radisson by Choice,none,49,,,,5297773,no,no,Country does not match OSM candidate
recJuVUstMrQOH8lv,Radisson Hotel Oscar Freire,Sao Paulo,Brazil,Radisson by Choice,none,51,,,,613724,no,no,No credible OSM match for Choice target
recKReqQzFkyJgGdG,Comfort Inn Puerto Vallarta,Puerto Vallarta,Mexico,Comfort Inn & Suites,medium,76,recZDFXDZasHHOPAb,Comfort Inn,way/637615405,24,no,no,"Good name (75%), same country, 24m"
recKaE1DQ7B9NbGTy,Quality Suites Oscar Freire,Sao Paulo,Brazil,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recKsMXA0bk9sxztJ,Radisson Hotel Monterrey San Jeronimo,Monterrey,Mexico,Radisson by Choice,none,61,,,,5038,no,no,No credible OSM match for Choice target
recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Guarulhos,Brazil,Comfort Inn & Suites,none,59,,,,561731,no,no,No credible OSM match for Choice target
recM6H22waiVJHUGk,"The Mangrove, An Ascend Hotel Collection Member",St. Thomas,US Virgin Islands,Ascend Collection,none,41,,,,2814943,no,no,Country does not match OSM candidate
recMX7xtaElXbVUVP,Clarion Suites Guatemala City,Guatemala City,Guatemala,Clarion,none,41,,,,1105248,no,no,Country does not match OSM candidate
recMaPQqCZwid4h3j,San Jose de Puembo Quito Airport an Ascend Member,Quito,Ecuador,Ascend Collection,medium,76,recdFsRzf8CHeV0LO,San José de Puembo,node/9162874684,38,no,no,"Good name (75%), same country, 38m"
recOlNJEBaMQZKvLH,Hotel Bantu by Faranda Boutique a member of Radisson Individuals,Cartagena,Colombia,Radisson Individuals by Choice,medium,76,recUw3oHzfFvTvPJX,Bantu,node/4581661358,29,no,no,"Good name (75%), same country, 29m"
