ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Groupe Lucien Barriere SAS,C,1,Saint-Barthélemy,Groupe Lucien Barriere SAS,exact,import_only,false,https://groupebarriere.com,add_costar_profile_screenshot
Solaya Hotels & Resorts,C,1,Dominican Republic,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Grupo ROMA,C,1,Brazil,Gromada,partial,import_only,false,https://gromada.pl,add_costar_profile_screenshot
Ameristar S.R.L.,C,1,Paraguay,Star Group,partial,import_only,false,https://starhotels.com.au,add_costar_profile_screenshot
Owner 1: Braemar Hotels & Resorts | Owner 2: Caribbean Property Group,C,1,Puerto Rico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: Holanda BNV SPA | Owner 2: Stars REI,C,1,Chile,BN Group,partial,import_only,false,https://bngroup.us,add_costar_profile_screenshot
Grupo Arco,C,1,Mexico,Harcourt Developments,partial,import_only,false,,add_costar_profile_screenshot
Palma Royale Hotel,C,1,Panama,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
Mexico Grand Hotels,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: HJ ARGENTINA SA | Owner 2: Howard Johnson Argentina,C,1,Argentina,Howard Johnson Argentina,exact,import_only,false,https://hjargentina.com,add_costar_profile_screenshot
Harcourt Developments,C,1,Antigua and Barbuda,Harcourt Developments,exact,import_only,false,,add_costar_profile_screenshot
Kingsley Management,C,1,Barbados,KiN Group,partial,import_only,false,https://kinhotel.com,add_costar_profile_screenshot
Owner 1: Filippone Propiedades | Owner 2: Howard Johnson Argentina,C,1,Argentina,Howard Johnson Argentina,exact,import_only,false,https://hjargentina.com,add_costar_profile_screenshot
Owner 1: Corporacion Quiport | Owner 2: Grupo SIXSTAR Hotels,C,1,Ecuador,Star Group,partial,import_only,false,https://starhotels.com.au,add_costar_profile_screenshot
Paradero Hotels,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Sierra Suites Hotels,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Ennismore,C,1,Argentina,Ennismore,exact,import_only,false,https://ennismore.com,add_costar_profile_screenshot
