recordId,name,parentCompany,status,country
recmjJRJQiPjOLzwu,"Hotel Florida, Tuxpan","(blank parent)",Open,Mexico
recmjaC462HuBNjfV,"Hotel Medellin Rodadero","(blank parent)",Open,Colombia
recmjgfIiMXe0zgs0,"Hotel Del Peregrino","(blank parent)",Open,Mexico
recmkOl8F2BAayTGK,"Capital O Mimi Del Mar","OYO Rooms",Open,Mexico
recmksNRHmVgaW0BM,"Go Inn","(blank parent)",Open,Mexico
recmlE3m1CcTJQjGL,"Heidelberg Haus Apart Hotel","(blank parent)",Open,Chile
recmlRAKVfDf3zMkf,"Hotel Las Americas","(blank parent)",Open,Mexico
recmlSxAkxzRradR2,"Carnaval Hotel Casino","(blank parent)",Open,Paraguay
recmlgGl0V1SASwkj,"Hotel Playa Linda","(blank parent)",Open,Guatemala
recmlh6mOu0Mxb5bX,"Mercure Belem","AccorHotels",Open,Brazil
recmm222jf4GiMeLx,"Nuevo Florida","(blank parent)",Open,Argentina
recmmK3gsNZRICY7K,"Hotel Montecarlo Santiago","(blank parent)",Open,Chile
recmmjNaIDdfpnMyW,"Hotel L'Ebene Verte","(blank parent)",Open,French Guiana
recmn5Ou1ZCM6CKbx,"Hotel Indigo Guadalajara Providencia","IHG Hotels & Resorts",Pipeline,Mexico
recmn5dQPiIRgVn8W,"Hotel Campanario De La Villa","(blank parent)",Open,Colombia
recmnJoYZWepCNLq6,"Paradise Inn & Spa","(blank parent)",Open,Costa Rica
recmnLGyBGGvkMQZh,"Eurohotel","(blank parent)",Open,Mexico
recmnLr3qzfdZlusZ,"Paradisus Cancun","Melia Hotels International, S.A",Open,Mexico
recmnOV59QOEQERm5,"Hotel Suites Contempo","(blank parent)",Open,Mexico
recmnPtdyOvA3OBkq,"Margaritas Hotel","(blank parent)",Open,Mexico
recmnee937pggsbLh,"Monkey Bay Wildlife Sanctuary","(blank parent)",Open,Belize
recmo6pJST2sCK0W5,"Dazzler by Wyndham Lima San Isidro","Wyndham Hotels & Resorts",Open,Peru
recmoM5s8xBpO8O0V,"Comfort Hostel","(blank parent)",Open,Guatemala
recmoRrB2EL7wCVkV,"Hotel Boutique Casa Del Coliseo","(blank parent)",Open,Colombia
recmoyMasztT6RPna,"Salinas Maceio All Inclusive Resort","(blank parent)",Open,Brazil
recmp1sFzk0qKYPKv,"Days Inn by Wyndham Montevideo","Wyndham Hotels & Resorts",Open,Uruguay
recmp8RK4uUK3C4mq,"Hacienda La Carriona","(blank parent)",Open,Ecuador
recmpdQp1c1D19oBd,"Continental Hotel","(blank parent)",Open,Uruguay
recmplZmtaHr0ANmt,"Holiday Inn Orizaba Veracruz","IHG Hotels & Resorts",Open,Mexico
recmpwo85k5TcfuQq,"Swan Generation","(blank parent)",Open,Brazil
recmq7YYASVhwFXFi,"Four Seasons Resort Cabo Del Sol","Four Seasons Hotels Limited",Open,Mexico
recmqPfKrBwHgac8P,"Hotel Posada Las Calandrias","(blank parent)",Open,Mexico
recmrqwySeXxkl6dU,"La Quinta by Wyndham Puebla Palmas Angelopolis","Wyndham Hotels & Resorts",Open,Mexico
recmrsLKBR93Kar2R,"Hotel Don Lolo","(blank parent)",Open,Colombia
recms07iSfMOdCDOK,"Hotel Diamante Real","(blank parent)",Open,Colombia
recms9W0DEAqxGwFd,"Naia Resort and Spa","(blank parent)",Open,Belize
recmsMfQATOD1mLGJ,"Villa Rosa Hotel","(blank parent)",Open,Mexico
recmsclTL9gjDlX1w,"Novotel Campo Grande","AccorHotels",Open,Brazil
recmsynhZb3lGrsMQ,"Park Royal Buenos Aires managed by Accor","(blank parent)",Open,Argentina
recmt9Z3ZHeTOunTS,"EB Hotel Quito","(blank parent)",Open,Ecuador
recmu2rlnLjLcjkUF,"Capital O Farallon Inn","OYO Rooms",Open,Mexico
recmuPf6Xm8Q4CAdO,"Thunderbird Fiesta Hotel & Casino","(blank parent)",Open,Peru
recmuuWjhaRoBqTWI,"Meson Del Valle Hotel","(blank parent)",Open,Mexico
recmuuZRUpUdNskGo,"Hotel Real Plaza","(blank parent)",Open,Guatemala
recmv2bRRX08Esw5i,"HS HOTSSON Hotel CDMX Condesa Sur","(blank parent)",Open,Mexico
recmv8uEsfVsMmkqq,"NH Collection Merida Paseo Montejo","Minor Hotel Group Limited",Open,Mexico
recmv9Qoq64gWesQL,"Selina Nosara","Selina Management Panama, S.A.",Open,Costa Rica
recmvT8GK17jeg9V8,"Costa Sol Hotel & Villas","(blank parent)",Open,Mexico
recmvUYel2lDC6094,"Fiesta Inn Cancun Las Americas","Grupo Posadas, S.A.B. DE C.V.",Open,Mexico
recmvt6jIQtf0TuMt,"Park Hotel","(blank parent)",Open,Haiti
recmw7JMgFEi4zmpO,"Hotel Obelisco","(blank parent)",Open,Colombia
recmwIu1CUPcrXKrt,"Radisson Hotel Alphaville","Choice Hotels International, Inc.",Open,Brazil
recmwWzMDUXGkVsqE,"Hotel Habana 612","(blank parent)",Open,Cuba
recmwXos4htRkVUi8,"Stadia Suites Queretaro","(blank parent)",Open,Mexico
recmwao0r7fhLLNgk,"The Lodgings Hotel SureStay Collection by Best Western","BWH Hotels",Open,Turks and Caicos Islands
recmwod7FOdW8dMys,"Bristol Umarizal Belem","(blank parent)",Open,Brazil
recmx44wy4xairgQZ,"Hotel Eco City","(blank parent)",Open,Mexico
recmxBT4Y90RABjB8,"Hotel Canal Beagle","(blank parent)",Open,Argentina
recmxafWHkURg7Mxy,"Hotel Preferencial Class","(blank parent)",Open,Colombia
recmxazsEN6ngmZTw,"Hotel Suites Mi Casa","(blank parent)",Open,Mexico
recmxexP2DXIErAjh,"San Pablo Villas Belize","(blank parent)",Open,Belize
recmy3uofLL5lcQ5x,"Hotel La Riviera","(blank parent)",Open,Colombia
recmy5lqknMYRJL6B,"one Villahermosa Centro","Grupo Posadas, S.A.B. DE C.V.",Open,Mexico
recmyAXE6tB4PVXlz,"Boutique Zen Suites","(blank parent)",Open,Argentina
recmyKQ88ZAM9vENS,"Hotel Costaustralis","(blank parent)",Open,Chile
