action,recordId,strId,sourceFile,rowNumber,fieldsUpdated,notes
updated,recizEdXVBJKGwV9V,230518,"Existing - Caribbean, South and Central America.xls:123",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Bauru"",""country"":""Brazil"",""name"":""Blue Tree Towers Bauru""}"
updated,reckVsfRC9Uu7gUUH,220530,"Existing - Caribbean, South and Central America.xls:124",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Bauru"",""country"":""Brazil"",""name"":""Comfort Hotel Bauru""}"
updated,recdbthYH0X0sPRXM,145906,"Existing - Caribbean, South and Central America.xls:125",,Market; Submarket; city; country; name,"{""Market"":""Dominican Republic"",""Submarket"":""Dominican Republic Regional"",""city"":""Bayahibe"",""country"":""Dominican Republic"",""name"":""Catalonia Gran Dominicus""}"
updated,rec7Mm2ZQipuuX4B0,252850,"Existing - Caribbean, South and Central America.xls:126",,Market; Submarket; city; country; name,"{""Market"":""Dominican Republic"",""Submarket"":""Dominican Republic Regional"",""city"":""Bayahibe"",""country"":""Dominican Republic"",""name"":""Catalonia Royal La Romana Adults Only""}"
updated,recAOSYNc57pnmnKY,137231,"Existing - Caribbean, South and Central America.xls:128",,Market; Submarket; city; country; name,"{""Market"":""Dominican Republic"",""Submarket"":""Dominican Republic Regional"",""city"":""Bayahibe"",""country"":""Dominican Republic"",""name"":""Sunscape Dominicus La Romana""}"
updated,recQ7Fkk3bj7xJ5jD,209948,"Existing - Caribbean, South and Central America.xls:129",,Market; Submarket; city; country; name,"{""Market"":""Puerto Rico"",""Submarket"":""San Juan Area"",""city"":""Bayamon"",""country"":""Puerto Rico"",""name"":""Hyatt Place Bayamon""}"
updated,recmwod7FOdW8dMys,260969,"Existing - Caribbean, South and Central America.xls:130",,Market; Submarket; city; country; name,"{""Market"":""Brazil North"",""Submarket"":""Brazil North Regional"",""city"":""Belem"",""country"":""Brazil"",""name"":""Bristol Umarizal Belem""}"
updated,recE5XxMSJPkZpOhx,140369,"Existing - Caribbean, South and Central America.xls:131",,Market; Submarket; city; country; name,"{""Market"":""Brazil North"",""Submarket"":""Brazil North Regional"",""city"":""Belem"",""country"":""Brazil"",""name"":""Grand Mercure Belem""}"
updated,recs2JM3uXqgAr9e0,202529,"Existing - Caribbean, South and Central America.xls:132",,Market; Submarket; city; country; name,"{""Market"":""Brazil North"",""Submarket"":""Brazil North Regional"",""city"":""Belem"",""country"":""Brazil"",""name"":""Holiday Inn Express Belem Ananindeua""}"
updated,recXRxoNTwHdFvwRU,171451,"Existing - Caribbean, South and Central America.xls:133",,Market; Submarket; city; country; name,"{""Market"":""Brazil North"",""Submarket"":""Brazil North Regional"",""city"":""Belem"",""country"":""Brazil"",""name"":""Ibis Belem Aeroporto""}"
