evidenceName,wikidataQid,osmSourceRecordId,osmCandidateName,stagingRecordId,matchConfidence,matchScore,matchReason,wouldWrite
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884774|node/1391142503,Q111884774,node/1391142503,terra linda,rec822nMHCu82Tqke,high,75,name=0.75; geo=31m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884775|node/593861356,Q111884775,node/593861356,Hotel El Rancho Sosua,recNDQRvSizsV0UjE,high,90,name=1.00; geo=27m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884772|node/3076134847,Q111884772,node/3076134847,Ultravioleta Boutique Residences,recUTk9OM3ptfZQiD,high,77,name=1.00; geo=118m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884773|way/284214289,Q111884773,way/284214289,Piergiorgio Palace Hotel,recQspS7blprKn3MR,high,90,name=1.00; geo=5m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884776|node/1391142522,Q111884776,node/1391142522,New Garden,recVZaBBM0gQS0Cpq,high,75,name=0.75; geo=10m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884780|node/6996449236,Q111884780,node/6996449236,Hotel Coco,recVcTzjeh5sFT3o2,high,77,name=1.00; geo=130m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884785|way/407017172,Q111884785,way/407017172,Hotel Villa Capri,recwsFvI2qhP3lNhs,high,77,name=1.00; geo=168m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884788|node/7353712778,Q111884788,node/7353712778,Hotel Atlantis,recna69MrcFVdbLvY,high,90,name=1.00; geo=39m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884794|way/198177958,Q111884794,way/198177958,Hotel Residence Playa Colibrí,recAF2AfbxM4gSjoz,high,90,name=1.00; geo=52m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884792|way/199921836,Q111884792,way/199921836,Hotel Palococo,recXQ8gUjATsqklbT,high,90,name=1.00; geo=46m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884807|node/7243015034,Q111884807,node/7243015034,La Isleta,reclyKVTPWzUTtLpC,high,75,name=0.75; geo=7m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884805|node/4734649323,Q111884805,node/4734649323,Punta Rucia Lodge,recu2OonTTy4jU5hq,high,90,name=1.00; geo=19m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884810|way/341067667,Q111884810,way/341067667,Hostal Doña Chava,rec2FvHEyxtNvGJOi,high,90,name=1.00; geo=18m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884808|node/9856719770,Q111884808,node/9856719770,Hotel Villa La Plantacion,recKEtAHaeyUKlR1k,high,75,name=0.76; geo=66m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884816|way/1006947117,Q111884816,way/1006947117,Hotel Art Villa Dominicana,recPscG7G4EBpZDIl,high,75,name=0.77; geo=13m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884823|way/406641455,Q111884823,way/406641455,Hotel Discovery,recfHusQljG15FsV1,high,90,name=1.00; geo=15m,yes
