sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
node/9184126460,La Orilla Las Galeras,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/9284022017,Hotel Boutique Santiago Apostol,,,http://hotelboutique-santiagoapostol.com,http://hotelboutique-santiagoapostol.com,85,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/9296353657,"Radisson Blu Resort & Residence, Punta Cana",Punta Cana,Punta Cana,https://www.radissonhotelsamericas.com/en-us/hotels/radisson-blu-resort-punta-cana,https://www.radissonhotelsamericas.com/en-us/hotels/radisson-blu-resort-punta-cana,100,route_branded_active_setup,osm_brand_tag,Radisson Blu by Choice,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
node/9296353739,AC Hotel by Marriott Punta Cana,Punta Cana,Punta Cana,https://www.marriott.com/hotels/travel/PUJAC-ac-hotel-punta-cana/,https://www.marriott.com/hotels/travel/PUJAC-ac-hotel-punta-cana/,100,route_branded_official_domain,official_brand_domain,,likely_existing,,,,,,excluded_not_independent,route_to_branded_or_steward
node/9320997860,Oasi Encantada Beach Resort,,,https://hotel-oasi-encantada.negocio.site/,https://hotel-oasi-encantada.negocio.site/,80,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/9330856129,Hotel Savas Salinas,,,https://sava.do/,https://sava.do/,85,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111115326,,,none,20,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/9381445917,Ocean El Faro,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111414790,,,medium,50,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/9470231876,Gasque,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/9483852883,Hotel Caribani,,,,,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/9490531017,Hotel park,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
