airtableRecordId,sourceType,rawHotelName,rawCountry,rawCity,retentionRecommendation,qualityScore,classification,reasons,matchConfidence,promotionEligibility,promotionRecommendation
recQGhtxnKKoIWWtw,osm,Parador El Maray,Argentina,El Maray,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQGxUEUTlQTKpCc,osm,Escadaria,CL,Valparaíso,keep_high_priority,85,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQH3wefrE1LQEgN,osm,hotel Deville Prime Campo grande,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",medium,not_eligible,hold_low_confidence
recQH7eaT1WTdCNkI,osm,Hotel Villa La Plantacion,Dominican Republic,Las Galeras,duplicate_review,95,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQHVaplF5BB6k51,osm,Pension Alegre,Mexico,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQHZZv0w7dGGhI5,osm,La piscina,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQHbO90voH6G5Uw,osm,Orosi Valley Farm,Costa Rica,Paraiso,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQHdJQqHyrUwQA1,osm,Hakuna Matata,Ecuador,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQHfyb3KAA28XCp,osm,Australis Yene-hue,Argentina,Puerto Madryn,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQHuMqFrDrwrm4l,osm,Hotel Bambu,MX,Campeche,keep_high_priority,85,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQI0no7CDUuGFnr,osm,Kerus Motel,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQI2RAJ1Q1FbAOZ,osm,Pousada e Restauante Junata,Brazil,Centro,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQI4TBGfzgKE3L9,osm,Pousada Avenida,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQIC2hzFYvFd16C,osm,La sultana,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQIEm70qjPEs1gw,osm,Francisco Villar,Dominican Republic,,duplicate_review,65,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQIEsHlKJptH5ZH,osm,Altamira,Chile,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQIIUBJJkosVkgC,osm,La Luna Rossa,Argentina,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQINgfexNNIAW5r,osm,Xbulu-Ha hostel,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQIStXHUTWBa4dk,osm,Pousada do Nô,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQITteePBK9gbrx,osm,Santorini Hotel,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
